SEQN,RIDAGEYR,RIAGENDR
109660,2,Female
109661,23,Male
109662,32,Male
109663,10,Female
109664,22,Male
109665,42,Female
109666,70,Female
109667,64,Male
109668,14,Female
109669,59,Male
109670,0,Female
109671,5,Male
109672,2,Male
109673,34,Male
109674,4,Female
109675,51,Female
109676,64,Female
109677,76,Female
109678,32,Female
109679,28,Male
109680,0,Female
109681,10,Female
109682,17,Male
109683,29,Female
109684,9,Male
109685,38,Male
109686,60,Male
109687,37,Female
109688,4,Female
109689,14,Female
109690,3,Male
109691,26,Female
109692,16,Female
109693,25,Female
109694,9,Male
109695,3,Male
109696,79,Female
109697,35,Female
109698,16,Female
109699,3,Female
109700,42,Female
109701,13,Female
109702,15,Female
109703,34,Male
109704,31,Male
109705,38,Male
109706,12,Male
109707,15,Female
109708,1,Male
109709,52,Male
109710,12,Male
109711,25,Male
109712,46,Male
109713,50,Female
109714,30,Male
109715,9,Male
109716,25,Female
109717,7,Male
109718,7,Female
109719,3,Female
109720,4,Female
109721,50,Male
109722,7,Female
109723,29,Male
109724,4,Female
109725,62,Female
109726,20,Male
109727,42,Female
109728,34,Female
109729,15,Female
109730,29,Female
109731,21,Female
109732,9,Female
109733,7,Male
109734,3,Male
109735,33,Male
109736,0,Male
109737,2,Male
109738,2,Female
109739,80,Male
109740,46,Male
109741,6,Female
109742,80,Male
109743,56,Male
109744,8,Male
109745,7,Male
109746,47,Male
109747,74,Female
109748,11,Male
109749,6,Female
109750,16,Male
109751,10,Female
109752,14,Male
109753,3,Female
109754,47,Female
109755,23,Male
109756,72,Male
109757,30,Female
109758,26,Male
109759,57,Male
109760,53,Male
109761,19,Female
109762,9,Male
109763,78,Male
109764,69,Male
109765,51,Female
109766,9,Female
109767,61,Male
109768,32,Male
109769,44,Male
109770,47,Female
109771,79,Female
109772,11,Female
109773,16,Female
109774,80,Female
109775,2,Male
109776,80,Female
109777,13,Female
109778,12,Female
109779,6,Female
109780,66,Female
109781,16,Female
109782,63,Female
109783,61,Male
109784,4,Male
109785,48,Male
109786,24,Female
109787,5,Male
109788,3,Male
109789,32,Female
109790,7,Female
109791,28,Male
109792,6,Male
109793,80,Female
109794,63,Male
109795,13,Male
109796,44,Female
109797,9,Male
109798,10,Female
109799,3,Female
109800,31,Male
109801,6,Male
109802,25,Male
109803,56,Female
109804,16,Female
109805,43,Female
109806,25,Female
109807,31,Male
109808,3,Male
109809,20,Female
109810,16,Female
109811,52,Male
109812,72,Female
109813,32,Male
109814,29,Female
109815,52,Female
109816,55,Female
109817,36,Female
109818,5,Female
109819,1,Female
109820,29,Female
109821,19,Male
109822,16,Female
109823,80,Female
109824,10,Female
109825,22,Male
109826,1,Male
109827,1,Female
109828,34,Male
109829,13,Female
109830,2,Male
109831,50,Male
109832,5,Male
109833,6,Male
109834,11,Female
109835,11,Male
109836,30,Male
109837,18,Female
109838,5,Male
109839,66,Female
109840,10,Female
109841,54,Female
109842,14,Male
109843,35,Male
109844,59,Male
109845,77,Female
109846,80,Male
109847,15,Male
109848,14,Male
109849,3,Female
109850,50,Female
109851,6,Female
109852,20,Female
109853,7,Female
109854,67,Male
109855,29,Male
109856,54,Female
109857,74,Male
109858,14,Female
109859,13,Female
109860,25,Female
109861,0,Female
109862,41,Female
109863,64,Female
109864,75,Female
109865,33,Female
109866,28,Female
109867,55,Male
109868,55,Female
109869,75,Male
109870,0,Male
109871,46,Male
109872,38,Female
109873,18,Female
109874,55,Male
109875,0,Male
109876,80,Female
109877,41,Male
109878,19,Male
109879,60,Female
109880,13,Male
109881,48,Male
109882,14,Female
109883,1,Male
109884,45,Female
109885,9,Male
109886,64,Male
109887,25,Male
109888,8,Male
109889,8,Female
109890,4,Male
109891,80,Female
109892,53,Male
109893,20,Female
109894,32,Female
109895,21,Male
109896,1,Female
109897,80,Male
109898,48,Female
109899,7,Male
109900,80,Female
109901,80,Male
109902,75,Female
109903,53,Male
109904,1,Female
109905,52,Female
109906,10,Male
109907,6,Male
109908,80,Male
109909,16,Female
109910,16,Male
109911,13,Male
109912,43,Female
109913,52,Female
109914,2,Female
109915,58,Male
109916,25,Male
109917,54,Female
109918,66,Male
109919,45,Female
109920,6,Male
109921,58,Female
109922,42,Female
109923,5,Female
109924,10,Male
109925,8,Female
109926,45,Female
109927,4,Female
109928,0,Female
109929,13,Male
109930,51,Male
109931,40,Female
109932,72,Male
109933,9,Female
109934,35,Female
109935,9,Female
109936,4,Male
109937,74,Male
109938,34,Female
109939,37,Female
109940,57,Female
109941,57,Female
109942,79,Female
109943,9,Male
109944,12,Female
109945,32,Male
109946,43,Female
109947,64,Male
109948,0,Female
109949,33,Male
109950,5,Male
109951,9,Male
109952,61,Male
109953,36,Female
109954,2,Male
109955,0,Male
109956,1,Female
109957,64,Female
109958,6,Male
109959,80,Female
109960,59,Male
109961,50,Female
109962,76,Male
109963,48,Female
109964,10,Female
109965,10,Male
109966,68,Male
109967,2,Male
109968,47,Male
109969,48,Female
109970,0,Female
109971,58,Female
109972,41,Female
109973,6,Male
109974,0,Male
109975,39,Female
109976,58,Male
109977,53,Female
109978,30,Female
109979,31,Female
109980,18,Male
109981,68,Female
109982,7,Female
109983,7,Male
109984,1,Female
109985,9,Female
109986,80,Male
109987,59,Female
109988,6,Female
109989,3,Male
109990,66,Male
109991,50,Male
109992,55,Male
109993,1,Male
109994,73,Female
109995,12,Male
109996,4,Female
109997,27,Male
109998,11,Female
109999,47,Male
110000,12,Female
110001,7,Female
110002,16,Male
110003,16,Female
110004,20,Female
110005,45,Female
110006,80,Female
110007,63,Female
110008,14,Female
110009,16,Male
110010,55,Female
110011,25,Male
110012,56,Female
110013,4,Female
110014,11,Female
110015,52,Female
110016,29,Female
110017,6,Male
